,Player,matches,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,stumpings
0,A Ashish Reddy,28,280,31,196,18,270,400,10,142.86,15.82,8.89,22.22,15,8,0
1,A Badoni,11,161,18,139,2,12,12,14.64,115.83,12.95,6,6,6,8,0
2,A Chandila,12,4,0,7,11,234,245,0.33,57.14,0,6.28,22.27,21.27,2,0
3,A Chopra,6,53,7,75,0,0,0,8.83,70.67,9.33,0,0,0,2,0
4,A Choudhary,5,25,2,20,5,108,144,5,125,10,8,28.8,21.6,0,0
5,A Dananjaya,1,4,0,5,0,25,47,4,80,0,11.28,470000,250000,0,0
6,A Flintoff,3,62,7,57,2,66,106,20.67,108.77,12.28,9.64,53,33,3,0
7,A Kumble,42,35,3,49,45,983,1089,0.83,71.43,6.12,6.65,24.2,21.84,9,0
8,A Manohar,7,108,17,79,0,0,0,15.43,136.71,21.52,0,0,0,4,0
9,A Mishra,154,362,34,410,166,3317,4022,2.35,88.29,8.29,7.28,24.23,19.98,18,0
10,A Mithun,16,34,5,26,7,312,477,2.12,130.77,19.23,9.17,68.14,44.57,7,0
11,A Mukund,2,19,1,23,0,0,0,9.5,82.61,4.35,0,0,0,3,0
12,A Nehra,88,41,4,63,106,1974,2537,0.47,65.08,6.35,7.71,23.93,18.62,17,0
13,A Nortje,30,8,0,13,43,706,946,0.27,61.54,0,8.04,22,16.42,7,0
14,A Singh,23,2,0,10,28,486,639,0.09,20,0,7.89,22.82,17.36,1,0
15,A Symonds,36,974,115,781,20,540,694,27.06,124.71,14.72,7.71,34.7,27,20,0
16,A Tomar,1,4,1,8,0,0,0,4,50,12.5,0,0,0,0,0
17,A Uniyal,2,4,0,7,2,38,67,2,57.14,0,10.58,33.5,19,0,0
18,A Zampa,14,5,1,8,21,292,373,0.36,62.5,12.5,7.66,17.76,13.9,1,0
19,AA Bilakhia,7,69,5,88,0,0,0,9.86,78.41,5.68,0,0,0,1,0
20,AA Chavan,13,12,2,11,8,255,339,0.92,109.09,18.18,7.98,42.37,31.87,3,0
21,AA Jhunjhunwala,18,217,24,218,1,88,130,12.06,99.54,11.01,8.86,129.99,87.99,10,0
22,AA Noffke,1,9,1,12,1,25,41,9,75,8.33,9.84,41,25,0,0
23,AB Agarkar,42,179,18,160,29,820,1174,4.26,111.87,11.25,8.59,40.48,28.28,4,0
24,AB Barath,3,42,6,43,0,0,0,14,97.67,13.95,0,0,0,0,0
25,AB Dinda,76,26,2,50,69,1589,2103,0.34,52,4,7.94,30.48,23.03,7,0
26,AB McDonald,10,123,13,103,11,188,263,12.3,119.42,12.62,8.39,23.91,17.09,0,0
27,AB de Villiers,170,5181,667,3487,0,0,0,30.48,148.58,19.13,0,0,0,120,8
28,AC Blizzard,7,120,23,91,0,0,0,17.14,131.87,25.27,0,0,0,4,0
29,AC Gilchrist,80,2069,331,1555,1,1,0,25.86,133.05,21.29,0,0,1,51,16
30,AC Thomas,15,20,2,19,14,327,416,1.33,105.26,10.53,7.63,29.71,23.36,3,0
31,AC Voges,8,181,18,143,0,56,76,22.62,126.57,12.59,8.14,760000,560000,1,0
32,AD Hales,6,148,19,119,0,0,0,24.67,124.37,15.97,0,0,0,2,0
33,AD Mascarenhas,13,79,6,79,19,310,365,6.08,100,7.59,7.06,19.21,16.32,2,0
34,AD Mathews,46,724,73,599,27,807,1095,15.74,120.87,12.19,8.14,40.56,29.89,19,0
35,AD Nath,10,90,9,99,0,0,0,9,90.91,9.09,0,0,0,2,0
36,AD Russell,95,2039,313,1212,89,1484,2214,21.46,168.23,25.83,8.95,24.88,16.67,23,0
37,AF Milne,10,23,1,31,7,217,339,2.3,74.19,3.23,9.37,48.43,31,7,0
38,AG Murtaza,12,10,1,14,9,269,322,0.83,71.43,7.14,7.18,35.78,29.89,3,0
39,AG Paunikar,5,49,9,61,0,0,0,9.8,80.33,14.75,0,0,0,1,0
40,AJ Finch,90,2092,292,1696,1,44,67,23.24,123.35,17.22,9.14,66.99,44,29,0
41,AJ Turner,4,3,0,11,0,0,0,0.75,27.27,0,0,0,0,0,0
42,AJ Tye,30,91,11,79,42,714,1005,3.03,115.19,13.92,8.45,23.93,17,7,0
43,AK Markram,19,527,60,400,1,61,87,27.74,131.75,15,8.56,86.99,60.99,9,0
44,AL Menaria,25,401,42,367,3,113,144,16.04,109.26,11.44,7.65,48,37.67,4,0
45,AM Nayar,51,672,75,588,9,239,323,13.18,114.29,12.76,8.11,35.89,26.56,13,0
46,AM Rahane,148,4074,511,3465,1,6,5,27.53,117.58,14.75,5,5,6,63,0
47,AN Ahmed,17,36,5,27,12,362,515,2.12,133.33,18.52,8.54,42.92,30.17,2,0
48,AN Ghosh,2,7,1,8,0,0,0,3.5,87.5,12.5,0,0,0,1,0
49,AP Dole,3,34,4,23,5,73,114,11.33,147.83,17.39,9.37,22.8,14.6,2,0
50,AP Majumdar,4,87,9,77,0,0,0,21.75,112.99,11.69,0,0,0,0,0
51,AP Tare,27,339,51,285,0,0,0,12.56,118.95,17.89,0,0,0,3,6
52,AR Bawne,1,12,1,12,0,0,0,12,100,8.33,0,0,0,0,0
53,AR Patel,122,1135,121,919,101,2599,3140,9.3,123.5,13.17,7.25,31.09,25.73,51,0
54,AS Joseph,12,20,2,20,13,240,358,1.67,100,10,8.95,27.54,18.46,1,0
55,AS Rajpoot,29,26,3,41,24,567,844,0.9,63.41,7.32,8.93,35.17,23.62,3,0
56,AS Raut,17,194,20,172,0,30,45,11.41,112.79,11.63,9,450000,300000,10,0
57,AS Roy,3,0,0,2,2,57,66,0,0,0,6.95,33,28.5,5,0
58,AS Yadav,6,49,7,40,0,0,0,8.17,122.5,17.5,0,0,0,1,0
59,AT Carey,3,32,1,29,0,0,0,10.67,110.34,3.45,0,0,0,2,0
60,AT Rayudu,173,4190,513,3375,0,0,0,24.22,124.15,15.2,0,0,0,62,2
61,AUK Pathan,7,39,7,26,0,41,63,5.57,150,26.92,9.22,630000,410000,2,0
62,Abdul Samad,19,228,26,164,2,55,113,12,139.02,15.85,12.33,56.5,27.5,14,0
63,Abdur Razzak,1,0,0,2,0,14,29,0,0,0,12.43,290000,140000,0,0
64,Abhishek Sharma,36,667,89,511,7,161,218,18.53,130.53,17.42,8.12,31.14,23,6,0
65,Akash Deep,5,0,0,2,5,119,206,0,0,0,10.39,41.2,23.8,1,0
66,Aman Hakim Khan,1,5,1,3,0,6,13,5,166.67,33.33,13,130000,60000,0,0
67,Anirudh Singh,4,63,7,69,0,0,0,15.75,91.3,10.14,0,0,0,3,0
68,Ankit Sharma,21,87,11,69,12,375,453,4.14,126.09,15.94,7.25,37.75,31.25,4,0
69,Ankit Soni,6,7,1,9,2,112,145,1.17,77.78,11.11,7.77,72.5,56,1,0
70,Anmolpreet Singh,3,29,4,27,0,0,0,9.67,107.41,14.81,0,0,0,1,0
71,Anuj Rawat,9,129,17,124,0,0,0,14.33,104.03,13.71,0,0,0,10,0
72,Anureet Singh,22,36,3,47,18,430,636,1.64,76.6,6.38,8.87,35.33,23.89,5,0
73,Arshdeep Singh,37,23,3,36,40,803,1086,0.62,63.89,8.33,8.11,27.15,20.07,6,0
74,Avesh Khan,38,31,5,19,47,868,1190,0.82,163.16,26.32,8.23,25.32,18.47,6,0
75,Azhar Mahmood,23,388,52,311,29,552,707,16.87,124.76,16.72,7.68,24.38,19.03,7,0
76,B Akhil,15,76,10,57,6,193,246,5.07,133.33,17.54,7.65,41,32.17,3,0
77,B Chipli,21,280,35,256,0,6,20,13.33,109.38,13.67,20,200000,60000,4,0
78,B Indrajith,3,21,2,31,0,0,0,7,67.74,6.45,0,0,0,1,0
79,B Kumar,146,241,26,259,154,3384,4064,1.65,93.05,10.04,7.21,26.39,21.97,24,0
80,B Laughlin,9,5,0,13,10,179,284,0.56,38.46,0,9.52,28.4,17.9,1,0
81,B Lee,38,124,16,102,25,916,1126,3.26,121.57,15.69,7.38,45.04,36.64,8,0
82,B Sai Sudharsan,5,145,17,118,0,0,0,29,122.88,14.41,0,0,0,1,0
83,B Stanlake,6,5,1,2,7,150,200,0.83,250,50,8,28.57,21.43,1,0
84,B Sumanth,4,35,3,38,0,0,0,8.75,92.11,7.89,0,0,0,4,0
85,BA Bhatt,15,6,1,7,12,303,408,0.4,85.71,14.29,8.08,34,25.25,0,0
86,BA Stokes,43,920,111,703,28,717,1005,21.4,130.87,15.79,8.41,35.89,25.61,21,0
87,BAW Mendis,10,3,0,6,8,248,306,0.3,50,0,7.4,38.25,31,1,0
88,BB McCullum,109,2882,423,2272,0,0,0,26.44,126.85,18.62,0,0,0,38,6
89,BB Samantray,8,125,15,116,0,0,0,15.62,107.76,12.93,0,0,0,3,0
90,BB Sran,24,10,0,14,18,516,767,0.42,71.43,0,8.92,42.61,28.67,4,0
91,BCJ Cutting,21,238,34,146,10,288,430,11.33,163.01,23.29,8.96,43,28.8,10,0
92,BE Hendricks,7,1,0,3,9,157,239,0.14,33.33,0,9.13,26.56,17.44,3,0
93,BJ Haddin,1,18,3,11,0,0,0,18,163.64,27.27,0,0,0,0,0
94,BJ Hodge,63,1400,165,1153,17,238,310,22.22,121.42,14.31,7.82,18.24,14,22,0
